17:00:32 定位数据接收端口开启成功。
17:00:32 航控数据发送端口开启成功。
17:00:32 接收航控数据的网络通信创建失败
原因: 10048通常每个套接字地址(协议/网络地址/端口)只允许使用一次。
17:00:37 开始MFSK数据接收，起始帧号0。
17:00:37 收到数据帧0
17:00:37 收到数据帧1
17:00:37 收到数据帧2
17:00:37 收到数据帧3
17:00:37 收到数据帧4
17:00:37 收到数据帧5
17:00:37 收到数据帧6
17:00:37 收到数据帧7
17:00:37 收到数据帧8
17:00:37 收到数据帧9
17:00:37 收到数据帧10
17:00:37 收到数据帧11
17:00:37 定位信息校验正确！
17:00:37 文字校验正确!
17:03:49 开始MFSK数据接收，起始帧号0。
17:03:49 收到数据帧0
17:03:49 收到数据帧1
17:03:49 收到数据帧2
17:03:49 收到数据帧3
17:03:49 收到数据帧4
17:03:49 收到数据帧5
17:03:49 收到数据帧6
17:03:49 收到数据帧7
17:03:49 收到数据帧8
17:03:49 收到数据帧9
17:03:49 收到数据帧10
17:03:49 收到数据帧11
17:03:49 定位信息校验正确！
17:03:49 文字校验正确!
17:04:50 开始MFSK数据接收，起始帧号0。
17:04:50 收到数据帧0
17:04:50 收到数据帧1
17:04:50 收到数据帧2
17:04:50 收到数据帧3
17:04:50 收到数据帧4
17:04:50 收到数据帧5
17:04:50 收到数据帧6
17:04:50 收到数据帧7
17:04:50 收到数据帧8
17:04:50 收到数据帧9
17:04:50 收到数据帧10
17:04:50 收到数据帧11
17:04:50 定位信息校验正确！
17:04:50 文字校验正确!
17:04:51 开始MFSK数据接收，起始帧号0。
17:04:51 收到数据帧0
17:04:51 收到数据帧1
17:04:51 收到数据帧2
17:04:51 收到数据帧3
17:04:51 收到数据帧4
17:04:51 收到数据帧5
17:04:51 收到数据帧6
17:04:51 收到数据帧7
17:04:51 收到数据帧8
17:04:51 收到数据帧9
17:04:51 收到数据帧10
17:04:51 收到数据帧11
17:04:51 定位信息校验正确！
17:04:51 文字校验正确!
17:05:00 开始MFSK数据接收，起始帧号0。
17:05:00 收到数据帧0
17:05:00 收到数据帧1
17:05:00 收到数据帧2
17:05:00 收到数据帧3
17:05:00 收到数据帧4
17:05:00 收到数据帧5
17:05:00 收到数据帧6
17:05:00 收到数据帧7
17:05:00 收到数据帧8
17:05:00 收到数据帧9
17:05:00 收到数据帧10
17:05:00 收到数据帧11
17:05:00 定位信息校验正确！
17:05:00 文字校验正确!
17:05:10 开始MFSK数据接收，起始帧号0。
17:05:10 收到数据帧0
17:05:10 收到数据帧1
17:05:10 收到数据帧2
17:05:10 收到数据帧3
17:05:10 收到数据帧4
17:05:10 收到数据帧5
17:05:10 收到数据帧6
17:05:10 收到数据帧7
17:05:10 收到数据帧8
17:05:10 收到数据帧9
17:05:10 收到数据帧10
17:05:10 收到数据帧11
17:05:10 定位信息校验正确！
17:05:10 文字校验正确!
